"zip","TOTAL10","TOTAL11","TOTAL5","TOTAL7","TOTAL12","TOTAL9","TOTAL6","TOTAL13","TOTAL8","TOTAL15","TOTAL14","RAPE5","RAPE6","RAPE7","RAPE8","RAPE9","RAPE10","RAPE11","RAPE12","RAPE15","RAPE14","RAPE13","latitude","longitude","state","sector_desc.x","INSTNM","primary_city","county"
32819,NA,NA,NA,NA,NA,NA,NA,2600,NA,2600,2600,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,28.45,-81.47,"FL",NA,"Strayer University-Florida","Orlando","Orange County"
32819,NA,NA,NA,NA,NA,NA,NA,1925,NA,1925,1925,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,28.45,-81.47,"FL",NA,"DeVry University-Florida","Orlando","Orange County"
32819,NA,NA,NA,NA,NA,NA,NA,2369,NA,2369,2369,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,28.45,-81.47,"FL",NA,"University of Phoenix-Florida","Orlando","Orange County"
32821,18456,18456,19398,19372,18456,19224,19398,15256,19372,15256,15256,0,0,0,0,0,0,0,0,0,0,0,28.38,-81.48,"FL","Private nonprofit, 4-year or above","Webster University","Orlando","Orange County"
32822,NA,NA,NA,NA,NA,NA,NA,13919,NA,13919,13919,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,28.49,-81.29,"FL",NA,"Universidad Metropolitana","Orlando","Orange County"
32822,NA,NA,NA,NA,NA,NA,NA,13058,NA,13058,13058,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,28.49,-81.29,"FL",NA,"Universidad Del Este","Orlando","Orange County"
32822,NA,NA,NA,NA,NA,NA,NA,17509,NA,17509,17509,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,28.49,-81.29,"FL",NA,"Universidad Del Turabo","Orlando","Orange County"
32825,NA,NA,32870,39008,NA,NA,32870,NA,39008,NA,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,28.52,-81.23,"FL","Public, 2-year","Valencia Community College","Orlando","Orange County"
32825,NA,NA,32870,39008,NA,NA,32870,NA,39008,NA,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,28.52,-81.23,"FL","Public, 2-year","Valencia Community College","Orlando","Orange County"
32825,NA,NA,32870,39008,NA,NA,32870,NA,39008,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,28.52,-81.23,"FL","Public, 2-year","Valencia Community College","Orlando","Orange County"
32825,NA,NA,32870,39008,NA,NA,32870,NA,39008,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,28.52,-81.23,"FL","Public, 2-year","Valencia Community College","Orlando","Orange County"
32825,1512,1512,1603,1567,1512,1529,1603,1540,1567,1540,1540,0,0,0,0,0,0,0,0,0,0,0,28.52,-81.23,"FL","Private nonprofit, 4-year or above","Asbury Theological Seminary","Orlando","Orange County"
32825,42915,42915,NA,NA,42915,42631,NA,44050,NA,44050,44050,NA,NA,NA,NA,0,0,0,0,0,0,0,28.52,-81.23,"FL",NA,"Valencia College","Orlando","Orange County"
32825,42915,42915,NA,NA,42915,42631,NA,44050,NA,44050,44050,NA,NA,NA,NA,0,0,0,0,0,0,0,28.52,-81.23,"FL",NA,"Valencia College","Orlando","Orange County"
32825,42915,42915,NA,NA,42915,42631,NA,44050,NA,44050,44050,NA,NA,NA,NA,0,0,0,0,0,0,0,28.52,-81.23,"FL",NA,"Valencia College","Orlando","Orange County"
32825,42915,42915,NA,NA,42915,42631,NA,44050,NA,44050,44050,NA,NA,NA,NA,0,0,0,0,0,0,0,28.52,-81.23,"FL",NA,"Valencia College","Orlando","Orange County"
32825,42915,42915,NA,NA,42915,42631,NA,44050,NA,44050,44050,NA,NA,NA,NA,0,0,0,0,0,0,0,28.52,-81.23,"FL",NA,"Valencia College","Orlando","Orange County"
32825,42915,42915,NA,NA,42915,42631,NA,44050,NA,44050,44050,NA,NA,NA,NA,0,0,0,0,0,0,0,28.52,-81.23,"FL",NA,"Valencia College","Orlando","Orange County"
32825,42915,42915,NA,NA,42915,42631,NA,44050,NA,44050,44050,NA,NA,NA,NA,0,0,0,0,0,0,0,28.52,-81.23,"FL",NA,"Valencia College","Orlando","Orange County"
32825,42915,42915,NA,NA,42915,42631,NA,44050,NA,44050,44050,NA,NA,NA,NA,0,0,0,0,0,0,0,28.52,-81.23,"FL",NA,"Valencia College","Orlando","Orange County"
32825,NA,NA,NA,NA,NA,NA,NA,128,NA,128,128,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,28.52,-81.23,"FL",NA,"Polytechnic University of Puerto Rico-Orlando","Orlando","Orange County"
32826,3790,3790,1355,1636,3790,2966,1355,4575,1636,4575,4575,0,0,0,0,0,0,0,0,0,0,1,28.59,-81.18,"FL","Private for-profit, 2-year","Florida Technical College","Orlando","Orange County"
32826,NA,NA,1920,1612,NA,NA,1920,NA,1612,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,28.59,-81.18,"FL","Private for-profit, 4-year or above","University of Phoenix-Central Florida Campus","Orlando","Orange County"
32826,NA,NA,NA,NA,NA,NA,NA,13740,NA,13740,13740,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,28.59,-81.18,"FL",NA,"Embry-Riddle Aeronautical University-Worldwide","Orlando","Orange County"
32826,NA,NA,NA,NA,NA,NA,NA,2600,NA,2600,2600,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,28.59,-81.18,"FL",NA,"Strayer University-Florida","Orlando","Orange County"
32827,NA,NA,32870,39008,NA,NA,32870,NA,39008,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,28.42,-81.3,"FL","Public, 2-year","Valencia Community College","Orlando","Orange County"
32827,NA,NA,NA,NA,NA,42631,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,28.42,-81.3,"FL",NA,"Valencia College","Orlando","Orange County"
32827,59601,59601,NA,NA,59601,NA,NA,62953,NA,62953,62953,NA,NA,NA,NA,NA,0,0,0,0,0,0,28.42,-81.3,"FL",NA,"University of Central Florida","Orlando","Orange County"
32828,489,489,NA,NA,489,397,NA,1313,NA,1313,1313,NA,NA,NA,NA,0,0,0,0,0,0,0,28.53,-81.17,"FL",NA,"Winter Park Tech","Orlando","Orange County"
32832,NA,NA,NA,NA,NA,NA,NA,44050,NA,44050,44050,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,28.4,-81.19,"FL",NA,"Valencia College","Orlando","Orange County"
32835,NA,NA,NA,NA,NA,NA,NA,44050,NA,44050,44050,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,28.52,-81.48,"FL",NA,"Valencia College","Orlando","Orange County"
32837,NA,NA,3649,4327,NA,NA,3649,NA,4327,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,28.38,-81.43,"FL","Private for-profit, 2-year","Universal Technical Institute-Automotive Motorcycle & Marine Mechanics","Orlando","Orange County"
32837,NA,NA,NA,NA,NA,NA,NA,2766,NA,2766,2766,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,28.38,-81.43,"FL",NA,"Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando","Orlando","Orange County"
32839,NA,NA,3283,NA,NA,NA,3283,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.49,-81.41,"FL","Private for-profit, 4-year or above","DeVry University-Florida","Orlando","Orange County"
32839,NA,NA,NA,4423,NA,NA,NA,NA,4423,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,28.49,-81.41,"FL",NA,"DeVry University-Florida","Orlando","Orange County"
32839,NA,NA,NA,NA,NA,3663,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,28.49,-81.41,"FL",NA,"Palm Beach Atlantic University-West Palm Beach","Orlando","Orange County"
32839,3579,3579,NA,NA,3579,NA,NA,3918,NA,3918,3918,NA,NA,NA,NA,NA,0,0,0,0,0,0,28.49,-81.41,"FL",NA,"Palm Beach Atlantic University","Orlando","Orange County"
32839,NA,NA,NA,NA,NA,NA,NA,23236,NA,23236,23236,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,28.49,-81.41,"FL",NA,"Nova Southeastern University","Orlando","Orange County"
32901,5384,5384,5118,8227,5384,8980,5118,6631,8227,6631,6631,0,0,0,0,0,0,0,3,4,1,1,28.08,-80.6,"FL","Private nonprofit, 4-year or above","Florida Institute of Technology","Melbourne","Brevard County"
32901,NA,NA,11548,16882,NA,NA,11548,NA,16882,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,28.08,-80.6,"FL","Private for-profit, 4-year or above","Keiser University-Ft. Lauderdale","Melbourne","Brevard County"
32901,18456,18456,NA,19372,18456,19224,NA,15256,19372,15256,15256,NA,NA,0,0,0,0,0,0,0,0,0,28.08,-80.6,"FL",NA,"Webster University","Melbourne","Brevard County"
32901,16713,16713,NA,NA,16713,17042,NA,16579,NA,16579,16579,NA,NA,NA,NA,0,0,0,0,0,0,0,28.08,-80.6,"FL",NA,"Keiser University-Ft Lauderdale","Melbourne","Brevard County"
32904,NA,NA,NA,NA,NA,NA,NA,86,NA,86,86,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,28.07,-80.68,"FL",NA,"The Salon Professional Academy-Melbourne","Melbourne","Brevard County"
32905,NA,NA,61,71,NA,NA,61,NA,71,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,28.03,-80.6,"FL","Private for-profit, less-than 2-year","Academy of Cosmetology-Palm Bay","Palm Bay","Brevard County"
32909,17202,17202,14496,17853,17202,17917,14496,NA,17853,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,27.98,-80.66,"FL","Public, 2-year","Brevard Community College","Palm Bay","Brevard County"
32909,NA,NA,19398,NA,NA,NA,19398,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.98,-80.66,"FL","Private nonprofit, 4-year or above","Webster University","Palm Bay","Brevard County"
32909,59601,59601,NA,NA,59601,NA,NA,62953,NA,62953,62953,NA,NA,NA,NA,NA,0,0,0,0,0,0,27.98,-80.66,"FL",NA,"University of Central Florida","Palm Bay","Brevard County"
32909,NA,NA,NA,NA,NA,NA,NA,15593,NA,15593,15593,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,27.98,-80.66,"FL",NA,"Eastern Florida State College","Palm Bay","Brevard County"
32922,17202,17202,14496,17853,17202,17917,14496,NA,17853,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,28.37,-80.75,"FL","Public, 2-year","Brevard Community College","Cocoa","Brevard County"
32922,59601,59601,NA,NA,59601,NA,NA,62953,NA,62953,62953,NA,NA,NA,NA,NA,0,0,0,0,0,0,28.37,-80.75,"FL",NA,"University of Central Florida","Cocoa","Brevard County"
32922,59601,59601,NA,NA,59601,NA,NA,62953,NA,62953,62953,NA,NA,NA,NA,NA,0,0,0,0,0,0,28.37,-80.75,"FL",NA,"University of Central Florida","Cocoa","Brevard County"
32922,NA,NA,NA,NA,NA,NA,NA,15593,NA,15593,15593,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,28.37,-80.75,"FL",NA,"Eastern Florida State College","Cocoa","Brevard County"
32925,18456,18456,19398,19372,18456,19224,19398,NA,19372,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,28.23,-80.6,"FL","Private nonprofit, 4-year or above","Webster University","Patrick Afb","Brevard County"
32934,NA,NA,NA,NA,NA,NA,NA,13740,NA,13740,13740,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,28.14,-80.71,"FL",NA,"Embry-Riddle Aeronautical University-Worldwide","Melbourne","Brevard County"
32935,17202,17202,14496,17853,17202,17917,14496,NA,17853,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,28.15,-80.65,"FL","Public, 2-year","Brevard Community College","Melbourne","Brevard County"
32935,17830,17830,32,15556,17830,18091,32,14759,15556,14759,14759,0,0,0,0,0,0,0,0,0,0,0,28.15,-80.65,"FL","Private nonprofit, 4-year or above","Columbia College","Melbourne","Brevard County"
32935,NA,NA,291,896,NA,NA,291,241,896,241,241,0,0,0,0,NA,NA,NA,NA,0,0,0,28.15,-80.65,"FL","Private for-profit, 4-year or above","Everest University-Melbourne","Melbourne","Brevard County"
32935,NA,NA,NA,NA,NA,NA,NA,15593,NA,15593,15593,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,28.15,-80.65,"FL",NA,"Eastern Florida State College","Melbourne","Brevard County"
32935,NA,NA,NA,NA,NA,NA,NA,43,NA,43,43,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,28.15,-80.65,"FL",NA,"Ambiance Beauty & Barber Academy Inc","Melbourne","Brevard County"
32953,18456,18456,19398,19372,18456,19224,19398,15256,19372,15256,15256,0,0,0,0,0,0,0,0,0,0,0,28.44,-80.7,"FL","Private nonprofit, 4-year or above","Webster University","Merritt Island","Brevard County"
32953,NA,NA,110,99,NA,NA,110,114,99,114,114,0,0,0,0,NA,NA,NA,NA,0,0,0,28.44,-80.7,"FL","Private for-profit, less-than 2-year","Academy of Cosmetology","Merritt Island","Brevard County"
32966,NA,NA,NA,NA,NA,NA,NA,18204,NA,18204,18204,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,27.68,-80.71,"FL",NA,"Indian River State College","Vero Beach","Indian River County"
33004,NA,NA,31730,NA,NA,NA,31730,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.05,-80.14,"FL","Public, 2-year","Broward Community College","Dania","Broward County"
33004,29994,29994,26193,27637,29994,29246,26193,30380,27637,30380,30380,0,0,0,0,0,0,0,0,0,0,0,26.05,-80.14,"FL","Public, 4-year or above","Florida Atlantic University","Dania","Broward County"
33004,78,78,100,104,78,82,100,49,104,49,49,0,0,0,0,0,0,0,1,0,0,0,26.05,-80.14,"FL","Private for-profit, 2-year","Key College","Dania","Broward County"
33004,42309,42309,NA,37360,42309,42198,NA,43078,37360,43078,43078,NA,NA,0,0,0,0,0,0,0,0,0,26.05,-80.14,"FL",NA,"Broward College","Dania","Broward County"
33004,NA,NA,NA,NA,NA,NA,NA,23236,NA,23236,23236,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,26.05,-80.14,"FL",NA,"Nova Southeastern University","Dania","Broward County"
33012,306,306,332,427,306,339,332,285,427,285,285,0,0,0,0,0,0,0,0,0,0,0,25.86,-80.29,"FL","Private for-profit, less-than 2-year","La Belle Beauty School","Hialeah","Miami-Dade County"
33012,NA,NA,2158,2811,NA,NA,2158,NA,2811,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,25.86,-80.29,"FL","Private for-profit, 2-year","Florida National College","Hialeah","Miami-Dade County"
33012,NA,NA,391,108,NA,NA,391,109,108,109,109,0,0,0,0,NA,NA,NA,NA,0,0,0,25.86,-80.29,"FL","Private for-profit, less-than 2-year","Nouvelle Institute","Hialeah","Miami-Dade County"
33012,NA,NA,711,1188,NA,NA,711,671,1188,671,671,0,0,0,0,NA,NA,NA,NA,0,0,0,25.86,-80.29,"FL","Private for-profit, less-than 2-year","Compu-Med Vocational Careers Corp","Hialeah","Miami-Dade County"
33012,NA,NA,11,68,NA,NA,11,NA,68,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,25.86,-80.29,"FL","not Dertermined yet","Total International Career Institute","Hialeah","Miami-Dade County"
33012,NA,NA,103,218,NA,NA,103,NA,218,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,25.86,-80.29,"FL","Private for-profit, 2-year","College of Business and Technology-Hialeah Campus","Hialeah","Miami-Dade County"
33012,NA,NA,NA,3958,NA,NA,NA,NA,3958,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,25.86,-80.29,"FL",NA,"Florida Career College","Hialeah","Miami-Dade County"
33012,66701,66701,NA,59120,66701,63736,NA,62332,59120,62332,62332,NA,NA,0,0,0,0,0,0,0,0,0,25.86,-80.29,"FL",NA,"Miami Dade College","Hialeah","Miami-Dade County"
33012,NA,NA,NA,1349,NA,592,NA,NA,1349,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,25.86,-80.29,"FL",NA,"Everest Institute-Hialeah","Hialeah","Miami-Dade County"
33012,NA,NA,NA,622,NA,NA,NA,NA,622,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,25.86,-80.29,"FL",NA,"Beauty Schools of America","Hialeah","Miami-Dade County"
33012,NA,NA,NA,149,NA,NA,NA,44,149,44,44,NA,NA,0,0,NA,NA,NA,NA,0,0,0,25.86,-80.29,"FL",NA,"Advance Science Institute","Hialeah","Miami-Dade County"
33012,5793,5793,NA,NA,5793,3651,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,25.86,-80.29,"FL",NA,"Florida Career College-Miami","Hialeah","Miami-Dade County"
33012,NA,NA,NA,NA,NA,NA,NA,2492,NA,2492,2492,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,25.86,-80.29,"FL",NA,"Florida National University-Main Campus","Hialeah","Miami-Dade County"
33012,NA,NA,NA,NA,NA,NA,NA,737,NA,737,737,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,25.86,-80.29,"FL",NA,"Beauty Schools of America-Hialeah","Hialeah","Miami-Dade County"
33012,NA,NA,NA,NA,NA,NA,NA,211,NA,211,211,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,25.86,-80.29,"FL",NA,"College of Business and Technology-Hialeah","Hialeah","Miami-Dade County"
33012,NA,NA,NA,NA,NA,NA,NA,158,NA,158,158,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,25.86,-80.29,"FL",NA,"Futura Career Institute","Hialeah","Miami-Dade County"
33014,1426,1426,1723,1493,1426,1421,1723,NA,1493,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,25.9,-80.3,"FL","Public, 2-year","Miami Lakes Educational Center","Hialeah","Miami-Dade County"
33014,NA,NA,97,135,NA,NA,97,20,135,20,20,0,0,0,0,NA,NA,NA,NA,0,0,0,25.9,-80.3,"FL","Private for-profit, less-than 2-year","American Advanced Technicians Institute","Hialeah","Miami-Dade County"
33014,NA,NA,NA,875,NA,NA,NA,518,875,518,518,NA,NA,0,0,NA,NA,NA,NA,0,0,0,25.9,-80.3,"FL",NA,"Sullivan and Cogliano Training Center","Hialeah","Miami-Dade County"
33014,NA,NA,NA,NA,NA,NA,NA,999,NA,999,999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,25.9,-80.3,"FL",NA,"Miami Lakes Educational Center and Technical College","Hialeah","Miami-Dade County"
33015,NA,NA,1534,1754,NA,NA,1534,NA,1754,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,25.94,-80.32,"FL","Private for-profit, 2-year","Keiser Career College-Greenacres","Hialeah","Miami-Dade County"
33015,NA,NA,NA,NA,NA,NA,NA,1063,NA,1063,1063,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,25.94,-80.32,"FL",NA,"Southeastern College-West Palm Beach","Hialeah","Miami-Dade County"
33016,NA,NA,NA,NA,NA,NA,NA,215,NA,215,215,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,25.9,-80.33,"FL",NA,"Beauty Academy of South Florida","Hialeah","Miami-Dade County"
33017,4350,4350,NA,4127,4350,4324,NA,4349,4127,4349,4349,NA,NA,1,0,0,0,1,3,2,0,2,25.86,-80.29,"FL",NA,"NHTI-Concord's Community College","Hialeah","Miami-Dade County"
33021,1115,1115,1683,1778,1115,1224,1683,NA,1778,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,26.02,-80.19,"FL","Public, 2-year","Sheridan Technical Center","Hollywood","Broward County"
33021,NA,NA,NA,NA,NA,NA,NA,1553,NA,1553,1553,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,26.02,-80.19,"FL",NA,"Sheridan Technical College","Hollywood","Broward County"
33023,221,221,NA,NA,221,NA,NA,65,NA,65,65,NA,NA,NA,NA,NA,0,0,0,0,0,0,25.99,-80.22,"FL",NA,"Hollywood Institute of Beauty Careers","Hollywood","Broward County"
33024,NA,NA,31730,NA,NA,NA,31730,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.03,-80.24,"FL","Public, 2-year","Broward Community College","Hollywood","Broward County"
33024,42309,42309,NA,37360,42309,42198,NA,43078,37360,43078,43078,NA,NA,1,0,0,0,0,0,0,0,0,26.03,-80.24,"FL",NA,"Broward College","Hollywood","Broward County"
33024,42309,42309,NA,37360,42309,42198,NA,43078,37360,43078,43078,NA,NA,1,0,0,0,0,0,0,0,0,26.03,-80.24,"FL",NA,"Broward College","Hollywood","Broward County"
33024,42309,42309,NA,37360,42309,42198,NA,43078,37360,43078,43078,NA,NA,1,0,0,0,0,0,0,0,0,26.03,-80.24,"FL",NA,"Broward College","Hollywood","Broward County"
33024,42309,42309,NA,37360,42309,42198,NA,43078,37360,43078,43078,NA,NA,1,0,0,0,0,0,0,0,0,26.03,-80.24,"FL",NA,"Broward College","Hollywood","Broward County"
33024,NA,NA,NA,3958,NA,NA,NA,NA,3958,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,26.03,-80.24,"FL",NA,"Florida Career College","Hollywood","Broward County"
33024,5793,5793,NA,NA,5793,3651,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,26.03,-80.24,"FL",NA,"Florida Career College-Miami","Hollywood","Broward County"
33024,NA,NA,NA,NA,NA,NA,NA,178,NA,178,178,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,26.03,-80.24,"FL",NA,"City College-Hollywood","Hollywood","Broward County"
33024,NA,NA,NA,NA,NA,NA,NA,157,NA,157,157,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,26.03,-80.24,"FL",NA,"Kaizen Beauty Academy","Hollywood","Broward County"
33025,NA,NA,272,446,NA,NA,272,NA,446,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,25.99,-80.28,"FL","Private for-profit, less-than 2-year","Concorde Career Institute","Hollywood","Broward County"
33025,NA,NA,881,1114,NA,NA,881,829,1114,829,829,0,0,0,0,NA,NA,NA,NA,0,0,1,25.99,-80.28,"FL","Private for-profit, 2-year","Le Cordon Bleu College of Culinary Arts-Miami","Hollywood","Broward County"
33025,476,476,NA,NA,476,511,NA,467,NA,467,467,NA,NA,NA,NA,0,0,0,0,0,0,0,25.99,-80.28,"FL",NA,"Concorde Career Institute-Miramar","Hollywood","Broward County"
33025,42309,42309,NA,NA,42309,NA,NA,43078,NA,43078,43078,NA,NA,NA,NA,NA,0,0,0,0,0,0,25.99,-80.28,"FL",NA,"Broward College","Hollywood","Broward County"
33025,42309,42309,NA,NA,42309,NA,NA,43078,NA,43078,43078,NA,NA,NA,NA,NA,0,0,0,0,0,0,25.99,-80.28,"FL",NA,"Broward College","Hollywood","Broward County"
33025,42309,42309,NA,NA,42309,NA,NA,43078,NA,43078,43078,NA,NA,NA,NA,NA,NA,0,0,0,0,0,25.99,-80.28,"FL",NA,"Broward College","Hollywood","Broward County"
33025,42309,42309,NA,NA,42309,NA,NA,43078,NA,43078,43078,NA,NA,NA,NA,NA,NA,0,0,0,0,0,25.99,-80.28,"FL",NA,"Broward College","Hollywood","Broward County"
33025,NA,NA,NA,NA,NA,NA,NA,23236,NA,23236,23236,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,25.99,-80.28,"FL",NA,"Nova Southeastern University","Hollywood","Broward County"
33025,NA,NA,NA,NA,NA,NA,NA,13919,NA,13919,13919,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,25.99,-80.28,"FL",NA,"Universidad Metropolitana","Hollywood","Broward County"
33025,NA,NA,NA,NA,NA,NA,NA,13058,NA,13058,13058,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,25.99,-80.28,"FL",NA,"Universidad Del Este","Hollywood","Broward County"
33025,NA,NA,NA,NA,NA,NA,NA,17509,NA,17509,17509,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,25.99,-80.28,"FL",NA,"Universidad Del Turabo","Hollywood","Broward County"
33026,NA,NA,NA,NA,NA,NA,NA,237,NA,237,237,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,26.03,-80.3,"FL",NA,"Jose Maria Vargas University","Hollywood","Broward County"
33027,NA,NA,11548,16882,NA,NA,11548,NA,16882,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,25.99,-80.34,"FL","Private for-profit, 4-year or above","Keiser University-Ft. Lauderdale","Hollywood","Broward County"
33027,NA,NA,3283,4423,NA,NA,3283,NA,4423,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,25.99,-80.34,"FL","Private for-profit, 4-year or above","DeVry University-Florida","Hollywood","Broward County"
33027,NA,NA,NA,2431,NA,NA,NA,NA,2431,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,25.99,-80.34,"FL",NA,"University of Phoenix-South Florida Campus","Hollywood","Broward County"
33027,16713,16713,NA,NA,16713,17042,NA,16579,NA,16579,16579,NA,NA,NA,NA,0,1,0,0,0,0,0,25.99,-80.34,"FL",NA,"Keiser University-Ft Lauderdale","Hollywood","Broward County"
33027,NA,NA,NA,NA,NA,NA,NA,4575,NA,4575,4575,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,25.99,-80.34,"FL",NA,"Florida Technical College","Hollywood","Broward County"
33027,NA,NA,NA,NA,NA,NA,NA,476,NA,476,476,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,25.99,-80.34,"FL",NA,"Brown Mackie College-Miami","Hollywood","Broward County"
33027,NA,NA,NA,NA,NA,NA,NA,2600,NA,2600,2600,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,25.99,-80.34,"FL",NA,"Strayer University-Florida","Hollywood","Broward County"
33027,NA,NA,NA,NA,NA,NA,NA,969,NA,969,969,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,25.99,-80.34,"FL",NA,"Chamberlain College of Nursing-Florida","Hollywood","Broward County"
33027,NA,NA,NA,NA,NA,NA,NA,1925,NA,1925,1925,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,25.99,-80.34,"FL",NA,"DeVry University-Florida","Hollywood","Broward County"
33027,NA,NA,NA,NA,NA,NA,NA,2369,NA,2369,2369,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,25.99,-80.34,"FL",NA,"University of Phoenix-Florida","Hollywood","Broward County"
33030,66701,66701,54094,59120,66701,63736,54094,62332,59120,62332,62332,0,0,0,0,0,0,0,0,1,0,1,25.49,-80.51,"FL","Public, 4-year or above","Miami Dade College","Homestead","Miami-Dade County"
33030,NA,NA,NA,NA,NA,NA,NA,508,NA,508,508,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,25.49,-80.51,"FL",NA,"Beauty Schools of America-Homestead","Homestead","Miami-Dade County"
33040,1212,1212,1012,1407,1212,1348,1012,1081,1407,1081,1081,0,0,0,0,0,0,0,0,0,0,0,24.55,-81.78,"FL","Public, 2-year","Florida Keys Community College","Key West","Monroe County"
33050,1212,1212,1012,1407,1212,1348,1012,1081,1407,1081,1081,0,0,0,0,0,0,0,0,0,0,0,24.71,-81.08,"FL","Public, 2-year","Florida Keys Community College","Marathon","Monroe County"
33054,1579,1579,1750,1923,1579,1735,1750,1467,1923,1467,1467,0,0,0,0,0,0,0,0,0,0,0,25.91,-80.27,"FL","Private nonprofit, 4-year or above","Florida Memorial University","Opa Locka","Miami-Dade County"
